Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
1,Adnane Abid,be BEL,"MF,FW",Standard Liège,21,2003,34,26,2107,23.4,2,5,7,2,0,0,5,1,0.09,0.21,0.3,0.09,0.30,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
2,Orseer Achihi,ng NGA,FW,Antwerp,18,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
3,Desmond Acquah,be BEL,"MF,FW",Dender,23,2002,11,2,243,2.7,0,1,1,0,0,0,1,0,0.0,0.37,0.37,0.0,0.37,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
4,Noah Adedeji,be BEL,MF,Genk,20,2005,25,12,1028,11.4,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
5,Farouck Adekami,ci CIV,"MF,FW",Antwerp,18,2006,21,12,1138,12.6,2,2,4,2,0,1,7,0,0.16,0.16,0.32,0.16,0.32,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
6,Oluwaseun Adewumi,at AUT,"FW,MF",Cercle Brugge,20,2005,32,16,1591,17.7,5,0,5,5,0,0,2,0,0.28,0.0,0.28,0.28,0.28,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
7,Ryan Adewusi,be BEL,FW,Dender,20,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
8,Mohammed El Âdfaoui,be BEL,MF,Gent,17,2008,4,0,68,0.8,0,1,1,0,0,0,0,0,0.0,1.32,1.32,0.0,1.32,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
9,Jerry Afriyie,gh GHA,FW,La Louvière,18,2006,31,29,2486,27.6,5,1,6,5,0,0,7,0,0.18,0.04,0.22,0.18,0.22,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
10,Lawrence Agyekum,gh GHA,MF,Cercle Brugge,21,2003,29,25,1877,20.9,0,2,2,0,0,0,5,0,0.0,0.1,0.1,0.0,0.10,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
11,Jules Ahoka,cd COD,DF,Antwerp,19,2006,2,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
12,Marley Aké,fr FRA,"MF,FW",Zulte Waregem,24,2001,30,16,1749,19.4,8,0,8,8,0,0,1,0,0.41,0.0,0.41,0.41,0.41,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
13,Takahiro Akimoto,jp JPN,"DF,MF",OH Leuven,27,1998,31,30,2711,30.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
14,Josimar Alcocer,cr CRC,MF,Westerlo,21,2004,35,33,2703,30.0,3,4,7,3,0,0,6,0,0.1,0.13,0.23,0.1,0.23,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
15,Mathys Angély,fr FRA,DF,Anderlecht,18,2007,4,3,280,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
16,Nilson Angulo,ec ECU,MF,Anderlecht,22,2003,22,22,1894,21.0,6,5,11,6,0,0,4,1,0.29,0.24,0.52,0.29,0.52,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
17,Bill Antonio,zw ZIM,"MF,DF",Mechelen,22,2002,33,7,1177,13.1,1,1,2,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
18,Tiago Araújo,pt POR,"DF,MF",Gent,24,2001,34,31,2688,29.9,1,4,5,1,0,0,8,0,0.03,0.13,0.17,0.03,0.17,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
19,Tolu Arokodare,ng NGA,FW,Genk,24,2000,4,0,84,0.9,1,0,1,1,0,0,0,0,1.07,0.0,1.07,1.07,1.07,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
20,Raymond Asante,gh GHA,FW,Charleroi,21,2004,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
21,Dirk Asare,be BEL,MF,Zulte Waregem,21,2004,11,9,818,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
22,Majeed Ashimeru,gh GHA,MF,La Louvière,27,1997,9,6,410,4.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
23,Steeven Assengue,be BEL,DF,Standard Liège,20,2005,6,0,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
24,Lynnt Audoor,be BEL,MF,Club Brugge,21,2003,7,3,197,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
25,Ludwig Augustinsson,se SWE,DF,Anderlecht,31,1994,27,24,2073,23.0,0,3,3,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
26,Rachid Ayindé,bf BFA,DF,Gent,20,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
27,Isaac Babadi,nl NED,MF,Antwerp,20,2005,17,3,479,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
28,Bilal Bafdili,be BEL,"MF,FW",Mechelen,20,2004,19,11,855,9.5,1,3,4,1,0,0,2,0,0.11,0.32,0.42,0.11,0.42,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
29,Michel-Ange Balikwisha,cd COD,MF,Antwerp,24,2001,4,4,345,3.8,1,0,1,0,1,1,0,0,0.26,0.0,0.26,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
30,William Balikwisha,cd COD,MF,OH Leuven,26,1999,11,3,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
31,Hassane Bandé,bf BFA,"FW,MF",Mechelen,26,1998,7,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
32,David Bates,sct SCO,DF,Standard Liège,28,1996,18,15,1377,15.3,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
33,Alama Bayo,gn GUI,FW,Cercle Brugge,19,2006,5,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
34,Emin Bayram,tr TUR,DF,Westerlo,22,2003,38,38,3320,36.9,4,2,6,3,1,1,4,2,0.11,0.05,0.16,0.08,0.14,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
35,Alexis Beka Beka,fr FRA,MF,La Louvière,24,2001,7,2,171,1.9,1,0,1,1,0,0,0,0,0.53,0.0,0.53,0.53,0.53,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
36,Rafik Belghali,dz ALG,DF,Mechelen,23,2002,3,3,239,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
37,Mouhamed Belkheir,fr FRA,FW,La Louvière,26,1999,3,2,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
38,Quentin Benaets,be BEL,FW,Charleroi,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
39,Mauricio Benítez,ar ARG,"MF,DF",Antwerp,21,2004,27,17,1501,16.7,3,0,3,3,0,0,4,0,0.18,0.0,0.18,0.18,0.18,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
40,Antoine Bernier,be BEL,MF,Charleroi,27,1997,38,31,2355,26.2,7,2,9,7,0,0,7,0,0.27,0.08,0.34,0.27,0.34,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
41,Adriano Bertaccini,be BEL,"MF,FW",Anderlecht,24,2000,32,17,1545,17.2,6,1,7,6,0,0,7,1,0.35,0.06,0.41,0.35,0.41,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
42,Adriano Bertaccini,be BEL,"FW,MF",Sint-Truiden,24,2000,1,0,28,0.3,1,1,2,1,0,0,0,0,3.21,3.21,6.43,3.21,6.43,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
43,Mohamed Berte,be BEL,FW,Dender,23,2002,28,8,967,10.7,2,0,2,2,0,0,1,0,0.19,0.0,0.19,0.19,0.19,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
44,Joshua Bethume,be BEL,MF,Anderlecht,16,2009,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
45,Aaron Bibout,cm CMR,FW,Genk,20,2004,20,12,1107,12.3,6,0,6,6,0,0,0,0,0.49,0.0,0.49,0.49,0.49,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
46,Glenn Bijl,nl NED,"DF,MF",Antwerp,30,1995,11,8,643,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
47,Mateo Biondic,hr CRO,"FW,MF",Union SG,22,2003,15,9,756,8.4,4,2,6,4,0,0,0,0,0.48,0.24,0.71,0.48,0.71,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
48,Lewin Blum,ch SUI,DF,Charleroi,24,2001,32,17,1784,19.8,0,1,1,0,0,0,8,0,0.0,0.05,0.05,0.0,0.05,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
49,Bouke Boersma,nl NED,FW,Mechelen,20,2005,17,15,1320,14.7,3,3,6,3,0,0,1,0,0.2,0.2,0.41,0.2,0.41,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
50,Naoufal Bohamdi-Kamoni,be BEL,FW,Westerlo,17,2007,11,0,116,1.3,0,1,1,0,0,0,0,0,0.0,0.78,0.78,0.0,0.78,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
51,Boli Bolingoli-Mbombo,be BEL,DF,Standard Liège,30,1995,3,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
52,Sofiane Boufal,ma MAR,"FW,MF",Union SG,31,1993,9,0,178,2.0,0,1,1,0,0,0,0,0,0.0,0.51,0.51,0.0,0.51,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
53,Amine Boukamir,ma MAR,MF,Charleroi,18,2006,7,6,448,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
54,Mehdi Boukamir,ma MAR,DF,Charleroi,21,2004,16,1,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
55,Rosen Bozhinov,bg BUL,DF,Antwerp,20,2005,16,15,1278,14.2,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
56,Myron van Brederode,nl NED,"FW,MF",Mechelen,22,2003,34,32,2833,31.5,9,5,14,8,1,1,2,0,0.29,0.16,0.44,0.25,0.41,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
57,Lucas Bretelle,fr FRA,MF,La Louvière,23,2002,1,0,14,0.2,0,1,1,0,0,0,0,0,0.0,6.43,6.43,0.0,6.43,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
58,Lucca Brughmans,be BEL,GK,Genk,17,2008,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
59,Eliot Bujupi,xk KVX,FW,Westerlo,19,2006,5,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
60,Christian Burgess,eng ENG,DF,Union SG,33,1991,35,35,3146,35.0,2,3,5,2,0,0,16,1,0.06,0.09,0.14,0.06,0.14,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
61,Royer Caicedo,co COL,DF,Cercle Brugge,19,2006,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
62,Alexandro Calut,be BEL,"DF,MF",Standard Liège,22,2003,9,4,418,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
63,Etienne Camara,fr FRA,MF,Charleroi,22,2003,38,38,3016,33.5,2,3,5,2,0,0,13,1,0.06,0.09,0.15,0.06,0.15,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
64,Ilay Camara,sn SEN,"DF,MF",Anderlecht,22,2003,25,17,1303,14.5,2,1,3,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
65,Shandre Campbell,za RSA,MF,Club Brugge,20,2005,11,0,105,1.2,1,0,1,1,0,0,1,0,0.86,0.0,0.86,0.86,0.86,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
66,Yannick Cappelle,be BEL,"DF,MF",Zulte Waregem,22,2003,30,22,2016,22.4,1,1,2,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
67,Alessio Castro-Montes,be BEL,MF,Union SG,28,1997,5,2,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
68,Vic Chambaere,be BEL,GK,Union SG,22,2003,9,8,765,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
69,Nikoloz Chikovani,ge GEO,FW,Charleroi,18,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
70,Ibrahima Cissé,sn SEN,FW,Gent,17,2007,11,1,276,3.1,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
71,Yoann Cissé,fr FRA,MF,Charleroi,20,2004,5,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
72,Thomas Claes,be BEL,MF,Zulte Waregem,21,2004,34,32,2775,30.8,2,1,3,2,0,0,3,0,0.06,0.03,0.1,0.06,0.10,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
73,Antoine Colassin,be BEL,"MF,FW",Charleroi,24,2001,29,6,630,7.0,2,2,4,2,0,0,2,0,0.29,0.29,0.57,0.29,0.57,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
74,Kobe Cools,be BEL,DF,Dender,28,1997,19,15,1325,14.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
75,Colin Coosemans,be BEL,GK,Anderlecht,32,1992,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
76,Jo Coppens,be BEL,GK,Sint-Truiden,34,1990,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
77,Antonio Cordero,es ESP,MF,Westerlo,18,2006,7,0,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
78,Coba da Costa,es ESP,MF,Anderlecht,23,2002,5,2,147,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
79,Mihajlo Cvetković,rs SRB,"FW,MF",Anderlecht,18,2007,29,19,1622,18.0,9,2,11,9,0,0,4,1,0.5,0.11,0.61,0.5,0.61,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
80,Amine Daali,be BEL,MF,Dender,21,2004,5,0,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
81,Gabriel David,ng NGA,FW,Antwerp,18,2007,8,0,118,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
82,Promise David,ca CAN,FW,Union SG,24,2001,24,17,1489,16.5,9,1,10,9,0,1,1,0,0.54,0.06,0.6,0.54,0.60,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
83,Nathan De Cat,be BEL,MF,Anderlecht,17,2008,36,34,2725,30.3,2,4,6,2,0,0,8,0,0.07,0.13,0.2,0.07,0.20,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
84,Luc De Fougerolles,ca CAN,DF,Dender,19,2005,27,18,1650,18.3,0,1,1,0,0,0,6,2,0.0,0.05,0.05,0.0,0.05,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
85,Benoit De Jaegere,be BEL,DF,Zulte Waregem,21,2004,17,10,931,10.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
86,Bo De Kerf,be BEL,DF,Dender,21,2003,8,5,459,5.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
87,Gilles De Meyer,be BEL,DF,Gent,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
88,Kamiel Van De Perre,be BEL,MF,Union SG,21,2004,30,25,2201,24.5,0,3,3,0,0,0,9,0,0.0,0.12,0.12,0.0,0.12,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
89,Alexander De Ridder,be BEL,MF,Anderlecht,17,2008,1,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
90,Celestin De Schrevel,be BEL,GK,La Louvière,23,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
91,Tibe De Vlieger,be BEL,MF,Gent,19,2005,24,17,1565,17.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
92,August De Wannemacker,be BEL,MF,Genk,16,2008,3,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
93,Nils De Wilde,be BEL,MF,Cercle Brugge,22,2003,10,0,99,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
94,Ortwin De Wolf,be BEL,GK,Mechelen,28,1997,8,7,675,7.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
95,Max Dean,eng ENG,"FW,MF",Gent,21,2004,23,11,1180,13.1,7,1,8,5,2,3,2,1,0.53,0.08,0.61,0.38,0.46,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
96,Massimo Decoene,be BEL,DF,Mechelen,21,2004,8,2,242,2.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
97,Tristan Degreef,be BEL,MF,Anderlecht,20,2005,34,21,1884,20.9,4,2,6,4,0,0,3,1,0.19,0.1,0.29,0.19,0.29,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
98,Maxime Delanghe,be BEL,GK,Cercle Brugge,24,2001,18,17,1591,17.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
99,Martin Delavallée,be BEL,GK,Charleroi,21,2004,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,belgian_pro_league_standard_clean.csv
